symbol,horizon,mae,rmse,mape,directional_accuracy,status,error
20MICRONS,1d,4.0076529826255,5.38860314787913,405.4481604853377,56.19047619047619,SUCCESS,
20MICRONS,3d,6.266962420604778,7.888382678699692,479.97838604652696,55.78231292517006,SUCCESS,
20MICRONS,5d,8.543251758843667,10.810774075184185,503.10836895431066,52.38095238095239,SUCCESS,
20MICRONS,1w,9.464082924404867,11.967181068485978,413.21543879997733,52.58855585831063,SUCCESS,
20MICRONS,1mo,15.084074005731825,18.124706747731274,314.5081543437177,44.52054794520548,SUCCESS,
20MICRONS.NS,1d,,,,,FAILED,index 13 is out of bounds for axis 0 with size 10
20MICRONS.NS,3d,,,,,FAILED,index 13 is out of bounds for axis 0 with size 10
20MICRONS.NS,5d,,,,,FAILED,index 13 is out of bounds for axis 0 with size 10
20MICRONS.NS,1w,,,,,FAILED,index 13 is out of bounds for axis 0 with size 10
20MICRONS.NS,1mo,,,,,FAILED,index 13 is out of bounds for axis 0 with size 10
21STCENMGM,1d,1.237413293533798,1.4162132898016935,100.33903272329232,45.51971326164875,SUCCESS,
21STCENMGM,3d,2.771055625599403,3.3475466271104017,145.3119637929316,51.971326164874554,SUCCESS,
21STCENMGM,5d,4.125491511680028,5.040735131003659,192.4846997558924,53.40501792114696,SUCCESS,
21STCENMGM,1w,5.628250066286324,6.61002470752698,268.23105024577643,48.201438848920866,SUCCESS,
21STCENMGM,1mo,11.190320687587501,13.033820676062485,307.01671806556703,47.08029197080292,SUCCESS,
360ONE,1d,1.890867473937263,2.6127610006481903,371.1975080980651,54.314720812182735,SUCCESS,
360ONE,3d,2.3813385380209433,2.9969425387573616,510.28040808265087,55.32994923857868,SUCCESS,
360ONE,5d,3.1418941332906685,3.9395619803702533,362.643610423889,55.10204081632652,SUCCESS,
360ONE,1w,3.0571774901539905,3.9724011110365733,201.55151226554767,54.59183673469388,SUCCESS,
360ONE,1mo,6.695491139402704,9.158407969264982,217.0091855822422,55.497382198952884,SUCCESS,
3IINFOLTD,1d,3.182693249080229,4.075020764796625,200.45472715315947,46.56319290465632,SUCCESS,
3IINFOLTD,3d,6.452787397073702,8.215923836567315,250.6923892106309,50.332594235033255,SUCCESS,
3IINFOLTD,5d,7.33093030304291,9.858256322684838,167.84050191011525,49.00221729490023,SUCCESS,
3IINFOLTD,1w,9.387327008995372,12.07611563341912,258.51284604943305,50.61043285238623,SUCCESS,
3IINFOLTD,1mo,13.263028891574207,16.78507588584928,178.69230129966022,46.82274247491639,SUCCESS,
3MINDIA,1d,1.5321339598847175,2.106549855654349,539.5652279096649,53.466286799620136,SUCCESS,
3MINDIA,3d,2.9568304389965996,3.851257066175428,463.8591480100135,52.661596958174904,SUCCESS,
3MINDIA,5d,3.7235248242754517,4.825272648739792,452.1404279489702,56.1787072243346,SUCCESS,
3MINDIA,1w,4.29339894343246,5.485252046395629,1183.916496208762,52.14081826831589,SUCCESS,
3MINDIA,1mo,6.166060647379838,8.124289494199996,566.0997151497695,53.19961795606495,SUCCESS,
3PLAND,1d,2.759950888152754,3.724657828551003,128.20329531322463,51.99468085106383,SUCCESS,
3PLAND,3d,4.636448789253955,6.766168877005643,132.3485641674117,56.38297872340425,SUCCESS,
3PLAND,5d,6.905779225180765,9.559872455149142,253.4182135811162,52.330226364846865,SUCCESS,
3PLAND,1w,7.70996090733893,10.48814734227866,223.16007544604463,50.59920106524633,SUCCESS,
3PLAND,1mo,14.746658874373319,18.13582149021475,210.14505876116996,47.050938337801604,SUCCESS,
3RDROCK,1d,,,,,FAILED,"""['nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
3RDROCK,3d,,,,,FAILED,"""['nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
3RDROCK,5d,,,,,FAILED,"""['nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
3RDROCK,1w,,,,,FAILED,"""['nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
3RDROCK,1mo,,,,,FAILED,"""['nearest_support', 'nearest_resistance', 'support_strength', 'resistance_strength', 'distance_to_support_pct', 'distance_to_resistance_pct', 'breakout_zone_lower', 'breakout_zone_upper', 'breakdown_zone_lower', 'breakdown_zone_upper', 'signal_level', 'signal_value'] not in index"""
5PAISA,1d,2.8593285983347947,3.6173642589478434,732.8098650169675,44.94773519163763,SUCCESS,
5PAISA,3d,3.5214086101622826,4.734820882573334,312.3341954306451,53.65853658536586,SUCCESS,
5PAISA,5d,5.089613247691876,6.934082120590139,346.77101971727967,54.89510489510489,SUCCESS,
5PAISA,1w,6.5359756549739325,8.523363542313003,1073.0672094618849,54.54545454545454,SUCCESS,
5PAISA,1mo,14.988378943738702,18.322063512938982,503.2163997817768,46.97508896797153,SUCCESS,
63MOONS,1d,2.9099962555532453,3.943749303640666,182.5343228389718,45.93993325917686,SUCCESS,
63MOONS,3d,5.633329094542993,7.6428225429990775,299.9315586308576,47.052280311457174,SUCCESS,
63MOONS,5d,7.687232161593753,10.109356782141862,297.76435856908336,47.10467706013363,SUCCESS,
63MOONS,1w,9.513206216873334,12.281881108880912,406.3832200482082,49.33184855233853,SUCCESS,
63MOONS,1mo,12.968378761625214,16.61056562805795,317.0392173122985,43.33706606942889,SUCCESS,
A2ZINFRA,1d,3.0118211719986174,3.7949675017804476,131.73168839588772,45.933014354066984,SUCCESS,
A2ZINFRA,3d,5.480977386502358,7.0338823739406475,134.93205051533096,46.00638977635783,SUCCESS,
A2ZINFRA,5d,6.974323972212521,9.255315334153302,121.70272022617925,48.242811501597444,SUCCESS,
A2ZINFRA,1w,8.561253397855763,11.136892231439186,163.02847987416067,51.75718849840255,SUCCESS,
A2ZINFRA,1mo,16.299270453108722,19.85694318303587,185.21919448239538,35.42673107890499,SUCCESS,
AAATECH,1d,2.713925532994934,4.159982919845619,209.51301306567098,51.42857142857142,SUCCESS,
AAATECH,3d,4.721248910727518,6.4864256046506785,227.65492326780156,53.956834532374096,SUCCESS,
AAATECH,5d,5.269346633330386,7.4855508338671815,180.1814124265628,47.482014388489205,SUCCESS,
AAATECH,1w,6.027055569758256,8.791378938754853,289.0166930466902,61.15107913669065,SUCCESS,
AAATECH,1mo,10.134417222589054,12.643981051300264,281.4264922274347,57.46268656716418,SUCCESS,
AAKASH,1d,2.761953251202083,3.334593766016995,172.05284689730246,40.400000000000006,SUCCESS,
AAKASH,3d,8.284762448025036,9.315163305195716,451.6370849976089,51.00401606425703,SUCCESS,
AAKASH,5d,10.726733097137789,11.9349987705608,520.9755915778943,51.40562248995983,SUCCESS,
AAKASH,1w,13.460514304658926,14.851069839916613,642.9328748454385,50.602409638554214,SUCCESS,
AAKASH,1mo,9.042411729139735,11.978302120874375,184.2706290357136,45.90163934426229,SUCCESS,
AAREYDRUGS,1d,2.7598101454354125,4.1130987712824805,218.0273473618461,50.48543689320388,SUCCESS,
AAREYDRUGS,3d,4.792341719230416,6.925712090227648,281.4189088257684,52.42718446601942,SUCCESS,
AAREYDRUGS,5d,6.971311662232846,9.269191455590192,286.922805631892,51.45631067961165,SUCCESS,
AAREYDRUGS,1w,8.307484833787393,10.90677756911992,429.55705958975574,54.90196078431373,SUCCESS,
AAREYDRUGS,1mo,17.976588054593567,22.150451022969303,281.79112890364286,39.795918367346935,SUCCESS,
AARON,1d,3.833906311857021,4.6360544571117,630.258317529526,55.55555555555556,SUCCESS,
AARON,3d,3.7294869364218752,5.1639504886609915,310.8206840208136,58.58585858585859,SUCCESS,
