Date,Title,URL,Article Description,Article Text,Article Content
21 Aug 2025,"Bajaj Finserv shares rise 1.5% as Jefferies initiates coverage with 'Buy' call, sees up to 22% upside",https://www.moneycontrol.com/news/business/markets/bajaj-finserv-shares-rise-1-5-as-jefferies-initiates-buy-call-sees-up-to-22-upside-13474696.html,"New ventures in mutual fund, healthcare, tech and ventures add optionality, the brokerage said about the NBFC","Bajaj Finserv shares rise 1.5% as Jefferies initiates 'Buy' call, sees up to 22% upside","Shares of Bajaj Finserv rose 1.5% on August 21 after global brokerage Jefferies initiated coverage with 'Buy' call and gave a target of Rs 2,420 per share. The target implies up to 22% upside potential from the current market price. Bajaj Finserv to benefit from lower rates, stronger BALIC (Bajaj Allianz Life Insurance Company Limited) profits and BAGIC (Bajaj Allianz General Insurance Company Limited) growth. At 10 am on August 21, Bajaj Finserv shares were trading 1.4% higher at Rs 1,986 apiece. New ventures in mutual fund, healthcare, tech and ventures add optionality, the brokerage said about the NBFC. Jefferies said it sees limited impact from Allianz exit and Jio Financial Services entry, adding that it expects 22% CAGR in core earnings. Last month, Bajaj Finserv reported a 30.4% year-on-year (YoY) rise in consolidated net profit for Q1FY26 at Rs 2,789 crore as compared to Rs 2,137.7 crore in the same quarter last year. Revenue for the June-ended quarter stood at Rs 35,439 crore, up 12.6% from Rs 31,479 crore in the corresponding period of the previous financial year."
18 Aug 2025,"Bajaj Finance, Axis Bank, HDFC Bank shares rise up to 6% on S&P upgrade, GST reform cheer",https://www.moneycontrol.com/news/business/markets/bajaj-finance-axis-bank-hdfc-bank-shares-rise-up-to-6-on-s-p-upgrade-gst-reform-cheer-13461688.html,"The Nifty Bank index was up more than 1.3 percent to hover around 56,035, while the Nifty Financial Services index rose nearly 2 percent to stand at 26,810, as seen at 10.10 am.","Bajaj Finance, Axis Bank, HDFC Bank shares jump up to 6%: S&P upgrade among key factors","The shares of banks and non-banking financial institutions saw strong rise in the morning trading hours of August 18. The sharp rise in the share prices pushed the Nifty Bank and Nifty Financial Services indices higher in the deep green. The Nifty Bank index was up more than 1.3 percent to hover around 56,035, while the Nifty Financial Services index rose nearly 2 percent to stand at 26,810, as seen at 10.10 am. Here are some of the key reasons leading to the uptrend in the financial pocket of the stock market: S&P upgrade: International credit ratings agency S&P Global on August 15 upgraded ratings of top 10 financial institutions, saying that India's financial institutions will continue to ride the country's good economic growth momentum. S&P has raised long-term issuer credit ratings on seven Indian banks - State Bank of India (SBI), ICICI Bank, HDFC Bank, Axis Bank, Kotak Mahindra Bank, Union Bank of India, and Indian Bank, and three finance companies - Bajaj Finance, Tata Capital, and L&T Finance. ""We expect India's banks to maintain adequate asset quality, good profitability, and enhanced capitalization over the next 12-24 months. This is despite some pockets of stress,"" S&P said, adding, credit risk in the system has reduced. This boosted investor sentiment for the stocks, as well as the broader sector, a day after US-based agency raised India's sovereign credit rating. ""S&P upgrade...is a significant macro and structural positive for the overall Indian market, likely supporting incremental valuation expansion driven by lower bond yields and decreased risk perception. Moreover, a higher sovereign rating will drive better FPI debt flows and lead to better USDINR and GOI bond yields. Foreign currency-heavy borrowers can benefit from lower interest costs. Indian financial companies, such as Bajaj Finance, accessing the ECB market could see a 15-20bp reduction on their coupon payments,"" said Motilal Oswal Financial Services. GST reforms: While delivering his Independence Day speech, Prime Minister Narendra Modi hinted at the next generation of Goods and Services Tax (GST) reforms to be announced as a Diwali gift for consumers. The Centre has proposed to move towards ""simple tax"" with 2 slabs—""standard and merit"", with special rates applicable for only for select few items. According to reports, this will significantly reduce tax burden on consumers aiming to buy several items, like electronics and other consumer durables. More demand for consumer durables may in turn boost stocks like Bajaj Finance who offer affordable EMIs to consumers to purchase several goods. Broader market uptrend: The sharp rise in the share prices also comes amid broader optimism in the stock market today. Sensex jumped over 1,000 points to hover around 81,629, while Nifty crossed the key 25,000-mark level. HDFC AMC and several other stocks will likely be strongly benefitted from the optimism in the stock markets. Bajaj Finance shares jumped more than 6 percent, while Chola Finance, ICICI Prudential Life Insurance Company, Bajaj Finsev and SBI Life shares were up more than 4 percent, leading the strong gains on the Nifty Financial Services index. IndusInd Bank shares rose nearly 3 percent, while AU Small Finance Bank, IDFC First Bank and Kotak Mahindra Bank shares were up nearly 2 percent each. Heavyweights ICICI Bank, HDFC Bank and Axis Bank shares were up more than 1 percent each, while SBI and PNB shares were hovering in the green with marginal gains. Also read: Our LIVE blog on stock market updates"
18 Aug 2025,"Sensex settles nearly 700 pts higher, Nifty above 24,800: PM Modi's GST reform plan among key factors behind market rally",https://www.moneycontrol.com/news/business/markets/sensex-soars-over-1-000-pts-nifty-reclaims-25-000-pm-modi-s-gst-reform-plan-among-key-factors-behind-market-rally-13461467.html,"Sensex, Nifty jumped on GST reform announcement as the lower rates are expected to boost the festive demand and fiscal year 2027 earnings outlook.","Sensex soars over 1,000 pts, Nifty reclaims 25,000 as PM Modi announces GST reform plan in his Independence Day speech in India.","The equity benchmark indices Sensex and Nifty rallied on Monday, climbing nearly 1 percent on heavy buying in auto and consumer durables stocks, buoyed by plans for big bang reforms in the GST regime by Diwali. Sensex jumped 676.09 points or 0.84 percent to settle at 81,273.75. During the day, it zoomed by 1,168.11 points or 1.44 percent to 81,765.77. The Nifty climbed 245.65 points or 1 percent to end at 24,876.95. Intra-day, it surged 390.7 points or 1.58 percent to 25,022. Maruti, Bajaj Finance, Mahindra & Mahindra, UltraTech Cement, Trent and Bajaj Finserv were among the major gainers. 15 of the 16 major sectors advanced, with autos and consumer stocks jumping 3.4 percent and 1.8 percent, respectively. The broader small-caps and mid-caps rose about 1 percent each. Key factors driving the rally: 1) GST reform push: In his Independence Day address on August 15, Prime Minister Modi said the Centre has circulated a draft of proposed GST changes to states and sought their cooperation to implement them before Diwali. Market experts said the proposal could shift most goods and services into the 5 percent and 18 percent slabs, benefiting sectors like autos and cement, which currently face a 28 percent tax. ""Insurance companies are also expected to benefit from the revision,"" said V K Vijayakumar, Chief Investment Strategist at Geojit Financial Services. 2) S&P upgrade: S&P Global Ratings upgraded India’s long-term sovereign credit rating on Thursday to ‘BBB’ from ‘BBB-’, the first upgrade since 2007, citing strong economic growth, improved policy credibility and fiscal consolidation. ""Declarations by the prime minister on GST reforms and the S&P upgrade are strong positives for the market,"" Vijayakumar added. The equity markets were closed on Friday for Independence Day. Stock Market Today LIVE 3) Global cues: Asian markets traded higher with Japan’s Nikkei, Shanghai Composite and Hong Kong’s Hang Seng in positive territory. Wall Street futures also pointed to a firm opening. 4) Crude prices: Brent crude slipped 0.05 percent to USD 65.82 per barrel. Softer crude prices ease concerns on India’s import bill and inflation, supporting sentiment. 5) Rupee gains: The rupee strengthened 20 paise to 87.39 against the US dollar in early trade, tracking firm domestic equities. It had settled at 87.59 in the previous session. 6) US softens tariff stance: Market mood also improved after US President Donald Trump signalled that Washington may not impose secondary tariffs on countries continuing to buy Russian crude, easing concerns of a potential hit to India. Technical view Anand James, Chief Market Strategist at Geojit Financial Services, said Nifty’s reversal attempts last week stalled near 24,670-24,720, but the upmove in mid and smallcaps shows a broad recovery. “We continue to look at 24,850-25,000-25,200 as objectives. While 24,850 may offer resistance, the upside remains intact as long as volatility holds above 24,650,” he said."
28 Jul 2025,"Bajaj Finserv shares rise 2% after Q1 net profit jumps 30% to Rs 2,789 crore: Should you buy, sell or hold?",https://www.moneycontrol.com/news/business/markets/bajaj-finserv-shares-rise-2-after-q1-net-profit-jumps-30-to-rs-2-789-crore-should-you-buy-sell-or-hold-13335431.html,"JM Financial kept a 'Buy' call on the stock, but raised its target price to Rs 2,300 apiece (earlier Rs 2,250 apiece).",Bajaj Finserv share price,"The shares of Bajaj Finserv jumped nearly 2 percent in morning trade on July 28 after the company released its results for the first quarter of the financial year 2026. Brokerages remained bullish on the stock, with target prices implying strong upside potential. The shares of the non-banking financial company (NBFC) were trading at Rs 2,018 apiece, as seen at 9.30 am. Bajaj Finserv Q1 Results: Bajaj Finserv on July 25 (Friday) had reported a net profit of Rs 2,789 crore for Q1 FY26. This marked a 30.5 percent rise from the Rs 2,138 crore net profit reported in the corresponding quarter of the previous financial year. The company's revenue from operations stood at Rs 35,439.08 crore in the quarter under review, marking a year-on-year (YoY) jump of 12.5 percent from Rs 31,479.93 crore reported in the corresponding quarter of previous year. On a sequential basis, the profit after tax (PAT) surged 15 percent from Rs 2,416.64 crore reported by the company in Q4 FY25. However, the revenue declined 3 percent from Rs 36,595.36 crore in the January-March quarter. Should you buy, sell or hold? JM Financial kept a ‘Buy’ call on the stock, but raised its target price to Rs 2,300 apiece (earlier Rs 2,250 apiece). The latest target price implies an upside potential of nearly 16 percent from the stock’s previous closing price of Rs 1,985.80 apiece. The domestic brokerage said that it expects the company to return to steady growth by the second half of this year. It added that it appreciates the firm’s reset in product and cost structures. “At CMP, while the implied holdco discount of 17% is less than 5 year average of 21%, we prefer Bajaj Finserv over Bajaj Finance to play the Bajaj growth story,” it added. HDFC Securities also maintained a ‘Buy’ call on the stock, with a target price of Rs 2,430 apiece. This implies an upside potential of more than 22 percent from the stock’s previous closing price. The domestic brokerage noted that the firm’s Q1 FY26 performance was strong across all operating business. “With the NBFC business maintaining sector leadership, the improving trajectory in insurance is expected to drive an operational turnaround and a 500bps increase in SOTP contribution, supporting a re-rating,” HDFC Securities said. Bajaj Finserv share price history: Notably, the shares of the company had closed over 2 percent lower on July 25 after the company had released its results for the first quarter of the financial year 2026. The stock has gained nearly 14 percent in the past six months, and is up more than 27 percent in 2025 so far."
25 Jul 2025,"Bajaj Finserv Consolidated June 2025 Net Sales at Rs 35,439.08 crore, up 12.58% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bajaj-finserv-consolidated-june-2025-net-sales-at-rs-35439-08-crore-up-12-58-y-o-y-13326642.html,,,"Reported Consolidated quarterly numbers for Bajaj Finserv are: Net Sales at Rs 35,439.08 crore in June 2025 up 12.58% from Rs. 31,479.93 crore in June 2024. Quarterly Net Profit at Rs. 2,789.05 crore in June 2025 up 30.47% from Rs. 2,137.70 crore in June 2024. EBITDA stands at Rs. 14,327.45 crore in June 2025 up 21.16% from Rs. 11,825.02 crore in June 2024. Bajaj Finserv EPS has increased to Rs. 17.50 in June 2025 from Rs. 13.40 in June 2024. Bajaj Finserv shares closed at 2,032.30 on July 23, 2025 (NSE) and has given 17.56% returns over the last 6 months and 28.69% over the last 12 months. "
25 Jul 2025,"Bajaj Finserv Standalone June 2025 Net Sales at Rs 434.37 crore, down 52.22% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/bajaj-finserv-standalone-june-2025-net-sales-at-rs-434-37-crore-down-52-22-y-o-y-13326234.html,,,"Reported Standalone quarterly numbers for Bajaj Finserv are: Net Sales at Rs 434.37 crore in June 2025 down 52.22% from Rs. 909.11 crore in June 2024. Quarterly Net Profit at Rs. 329.92 crore in June 2025 down 47.88% from Rs. 633.04 crore in June 2024. EBITDA stands at Rs. 390.43 crore in June 2025 down 54.51% from Rs. 858.33 crore in June 2024. Bajaj Finserv EPS has decreased to Rs. 2.10 in June 2025 from Rs. 4.00 in June 2024. Bajaj Finserv shares closed at 2,032.30 on July 23, 2025 (NSE) and has given 17.56% returns over the last 6 months and 28.69% over the last 12 months. "
25 Jul 2025,"Bajaj Finserv Q1 net profit jumps 30% on-year to Rs 2,789 crore",https://www.moneycontrol.com/news/business/earnings/bajaj-finserv-q1-net-profit-jumps-30-on-year-to-rs-2-789-crore-13325480.html,"The life insurance gross written premium was up 9 percent YoY, while it declined 41% sequentially.","Bajaj Finserv Q1 net profit jumps 30% on-year to Rs 2,789 crore.","Bajaj Finserv reported a 30.5 percent jump in it's June quarter net profit to Rs 2,789 crore. The same was reported at Rs 2,138 crore in the same period a year ago. The company's revenue from operations stood at Rs 35,439.08 crore in the quarter under review, a year-on-year (YoY) jump of 12.5 per cent from Rs 31,479.93 crore reported in the corresponding quarter of previous year. The life insurance gross written premium was up 9 percent YoY, while it declined 41% sequentially. The general insurance gross written premium was up 9 percent, while declining 20 percent quarter-on-quarter (QoQ). On the sequential basis, the profit after tax (PAT) surged 15% from Rs 2 416.64 crore reported by the company in Q4FY25, however, the revenue declined 3 percent from QoQ against Rs 36,595.36 crore in the January-March quarter. The company incurred total expenses of Rs 28,248.32 crore in the quarter under review, rising from Rs 25,514.14 crore YoY. Shares of Bajaj Finserv were trading in the red at around 12:30 p.m., quoting at Rs 1,960.8 per share on the NSE, down 3.52 percent."
25 Jul 2025,"Sensex declines nearly 700 pts, Nifty below 24,850: Bajaj Finance Q1 results among key factors behind market decline",https://www.moneycontrol.com/news/business/markets/sensex-declines-over-550-pts-nifty-below-24-900-bajaj-finance-q1-results-among-key-factors-behind-market-decline-13324913.html,"Sensex, Nifty extended decline on Friday as weak earnings from Bajaj Finance as well as FII selling weighed on investor sentiments. ","Sensex, Nifty see profit-booking in July 25 trading session. ","The benchmark equity indices declined nearly 1 percent on Friday, weighed by weak earnings from Bajaj Finance, continued selling by foreign institutional investors (FIIs) and a negative trend in Asian markets. Sensex declined 670.05 points or 0.82 percent to 81,514.12, while the broader Nifty dropped 219.55 points or 0.88 percent to 24,842.55. Bajaj Finance, Bajaj Finserv, Shriram Finance, Bajaj Auto and Hero MotoCorp were among the major laggards, declining up to 6 percent. Here are the key factors behind the market decline: 1) Bajaj Finance shares fall after Q1 results: Shares of Bajaj Finance slumped nearly 6 percent after the company reported higher credit costs in its two-wheeler/three-wheeler and MSME segments for the quarter ended June 30, 2025. The company noted visible stress in the MSME portfolio since February and expects a moderation in growth in these segments from Q2 onwards. Despite this, consolidated net profit rose 22 percent year-on-year to Rs 4,765 crore, supported by strong loan growth. Consolidated revenue grew 21 percent to Rs 19,524 crore from Rs 16,100 crore in the year-ago period. Bajaj Finance shares sink 6% as MSME stress, credit costs weigh; should you buy, sell, or hold shares? 2) Rise in India VIX: The volatility index, India VIX, rose nearly 7 percent to 11.43, indicating rising nervousness among traders. A spike in the VIX typically reflects heightened fear in the market and can lead to increased selling pressure. Stock Market LIVE Updates 3) Rupee weakens: The Indian rupee depreciated by 19 paise to 86.59 against the US dollar in early trade. A weak domestic equity market and continued foreign capital outflows weighed on the local currency, further dampening investor sentiment. 4) Continued FII selling: Foreign Institutional Investors net sold shares worth Rs 2,133.69 crore on Thursday. Analysts said sustained FII outflows, totalling Rs 11,572 crore over the last four sessions, remain a key overhang for the market. ""The near-term market construct has turned weak,"" said VK Vijayakumar, Chief Investment Strategist at Geojit Financial Services. 5) Weak global cues: Asian markets traded lower, with Japan's Nikkei 225, Shanghai Composite and Hong Kong's Hang Seng all in the red. Overnight, US markets ended on a mixed note, adding to global uncertainty. 6) Rise in crude oil prices: Brent crude futures rose 0.39 percent to USD 69.45 per barrel. Rising oil prices are generally seen as negative for oil-importing countries like India, as they can lead to inflationary pressures. Technical outlook Anand James, Chief Market Strategist at Geojit Financial Services, said Nifty may face further pressure if it slips below 24,900. “The 25,215 region has triggered consolidation that now threatens to evolve into a stronger downtrend. A breach of 24,900 could open immediate downside targets of 24,750–24,650. Further supports lie at 24,450 and 24,000,” he said. However, he added that if the index holds near 24,900, some sideways movement could be expected, with resistance seen near 25,130."
16 Jul 2025,"Stocks to Watch Today: Ashok Leyland, Dixon Tech, Zydus Lifesciences, ICICI Lombard, HDB Financial, HDFC Life, Jindal Steel, Biocon in focus on 16 July",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-ashok-leyland-dixon-tech-zydus-lifesciences-icici-lombard-hdb-financial-hdfc-life-jindal-steel-biocon-in-focus-on-16-july-13282597.html,"Stocks to watch, 16 July: Stocks like HDFC Life Insurance Company, HDB Financial Services, ICICI Lombard General Insurance Company, Just Dial, Dixon Technologies, Zydus Lifesciences, Biocon, Jindal Steel & Power, Asston Pharmaceuticals, and Ashok Leyland will be in focus on July 16.","Stocks to Watch Today, 16 July","Let's catch up on the latest news from the stock market. From significant investments to major deals, quarterly earnings, and acquisitions, here’s a quick look at which stocks will be in focus in today's trade: Results Today Tech Mahindra, ITC Hotels, Angel One, DB Corp, Le Travenues Technology, Kalpataru, Lotus Chocolate Company, L&T Technology Services, and Reliance Industrial Infrastructure will release their quarterly earnings on July 16. Quarterly Earnings HDFC Life Insurance Company Q1 (YoY) Profit grows 14.4% to Rs 546 crore Vs Rs 478 Total APE (annual premium equivalent) increases 12.5% to Rs 3,225 crore Vs Rs 2,866 crore Retail (individual) APE soars 12.5% to Rs 2,777 crore Vs Rs 2,467 crore Value of new business (VNB) increases 12.7% to Rs 809 crore Vs Rs 718 crore VNB margin expands to 25.1% Vs 25% Assets under management jumps 14.7% to Rs 3.55 lakh crore Vs Rs 3.1 lakh crore HDB Financial Services Q1 (YoY) Profit drops 2.4% to Rs 568 crore Vs Rs 582 crore Net interest income grows 18.3% to Rs 2,092 crore Vs Rs 1,768 crore Net interest margin expands to 7.7% Vs 7.6% Gross loans increases 14.3% to Rs 1.09 lakh crore Vs Rs 95,629 crore Pre-provisioning operating profit zooms 17.2% to Rs 1,402 crore Vs Rs 1,196 crore Gross NPA jumps to 2.56% Vs 2.26% Net NPA climbs to 1.11% Vs 0.77% ICICI Lombard General Insurance Company Q1 (YoY) Profit zooms 28.7% to Rs 747 crore Vs Rs 580 crore Gross written premium grows 1.5% to Rs 8,053 crore Vs Rs 7,931 crore Gross direct premium income increases 0.6% to Rs 7,735 crore Vs Rs 7,688 crore Net premier earned surges 14% to Rs 5,136 crore Vs Rs 4,503.9 crore Combined ratio rises to 102.9% Vs 102.3% Just Dial Q1 (YoY) Profit rises 13% to Rs 159.6 crore Vs Rs 141.2 crore Revenue increases 6.2% to Rs 297.9 crore Vs Rs 280.6 crore EBITDA grows 7.2% to Rs 86.4 crore Vs Rs 80.6 crore Margin expands 28 bps to 29% Vs 28.7% Network 18 Media & Investments Q1 (YoY) News business operating revenue declines 4.9% to Rs 430 crore Vs Rs 453 crore News business operating EBITDA grows 68.5% to Rs 4 crore Vs Rs 2 crore Operating EBITDA margin expands to 1% Vs 0.5% News business operating expense drops 5.3% to Rs 426 crore Vs Rs 450 crore Stocks to Watch Dixon Technologies (India) The company has entered into a binding term sheet with Kunshan Q Tech Microelectronics (India) and its shareholders for the proposed acquisition of a 51% stake in Q Tech India. This move aims to establish collaboration in the manufacturing, sale, and distribution of camera and fingerprint modules for mobile handsets, Internet of Things (IoT) systems, and automotive applications. The acquisition will be executed through a combination of primary and secondary investments by Dixon. Additionally, Dixon has entered into a binding term sheet with Chongqing Yuhai Precision Manufacturing Co. to form a prospective joint venture in India with a 74:21 ownership ratio. The JV company will focus on the manufacturing of precision components for laptops, mobile phones, IoT, automotive, and other products. Kotak Mahindra Bank Phani Shankar has resigned from the position of President and Chief Credit Officer (Senior Management Personnel) of the bank. His resignation will be effective July 21. Zydus Lifesciences The company has received final approval from the US Food and Drug Administration (USFDA) for its Celecoxib capsules, which will be available in 50 mg, 100 mg, 200 mg, and 400 mg strengths. Celecoxib is used to treat pain and inflammation caused by various conditions such as arthritis, ankylosing spondylitis, and menstrual pain. Biocon Biocon’s subsidiary, Biocon Biologics, has received approval from the US FDA for KIRSTY (Insulin Aspart-xjhz), 100 units/mL, as the first and only interchangeable biosimilar to NovoLog (Insulin Aspart). KIRSTY is a rapid-acting human insulin analog, indicated to improve glycemic control in adult and pediatric patients with diabetes mellitus. Bajaj Finserv The Insurance Regulatory and Development Authority of India (IRDAI) has approved the transfer of 26% equity shares held by Allianz SE in its two insurance subsidiaries—Bajaj Allianz General Insurance Company and Bajaj Allianz Life Insurance Company—to Bajaj Finserv, Bajaj Holdings & Investment (promoter), and Jamnalal Sons (promoter group). Jindal Steel & Power Mayank Gupta has resigned as Chief Financial Officer of the company, effective July 15, citing personal commitments. Bulk Deals MAS Financial Services Nippon India Mutual Fund acquired an additional 20 lakh shares at Rs 305 per share from Business Excellence Trust III. As of March 2025, Nippon India MF held a 5.29% stake in MAS Financial. SME IPO Listing on July 16 Asston Pharmaceuticals Stocks Trade Ex-Dividend Tata Consultancy ServicesPiramal PharmaAnant RajAvadh Sugar & EnergyB&A Packaging IndiaDJ Mediaprint & LogisticsTCI ExpressUltramarine & Pigments Stock Trades Ex-Bonus Ashok Leyland Stock in F&O ban Glenmark PharmaHindustan CopperRBL Bank"
02 Jul 2025,"Markets see profit booking: Sensex down 300 pts, Nifty at 25,450 as financial, realty stocks fall",https://www.moneycontrol.com/news/business/markets/markets-see-profit-booking-sensex-down-200-pts-nifty-below-25-450-as-financial-realty-stocks-fall-13219091.html,"Sensex, Nifty declined amid selling pressure in large-caps, FII selling and a mixed trend in global equities impacted sentiments.","Sensex, Nifty saw profit-booking in July 2 trading session. ","The benchmark equity indices gave up early gains and settled lower on Wednesday amid profit booking, as investors turned cautious ahead of a key US trade tariff deadline on July 9. Selling pressure in large-caps, including HDFC Bank, L&T and Reliance Industries, FII selling and a mixed trend in global equities impacted sentiments. The Sensex settled 287.6 points or 0.34 percent lower at 83,409.69. During the day, it dropped 546.52 points or 0.65 percent to 83,150.77. The Nifty declined by 88.40 points or 0.35 percent to settle at 25,453.40. From the Sensex pack, Bajaj Finserv, Larsen & Toubro, Bajaj Finance, HDFC Bank, Bharat Electronics and Kotak Mahindra Bank were among the major laggards. However, Tata Steel, Asian Paints, UltraTech Cement, and Trent were the biggest gainers. Sentiment was dented after US President Donald Trump reiterated that he would not delay the July 9 deadline for imposing higher levies on trade partners, raising concerns about ongoing negotiations between India and the US. ""Mixed global cues, particularly ahead of the impending tariff deadline, are driving investor caution. Market attention is gradually shifting to crucial Q1 earnings, which have high expectations. ""Underlying trends such as robust macroeconomic fundamentals and increased government expenditure continue to support market resilience. However, being at the breach level of the recent rally, a cautiousness is expected to continue in the near term,"" Vinod Nair, Head of Research, Geojit Investments Limited, said. Sectoral performance was mixed. Nifty Metal index gained 1.38 percent, while IT, Pharma and Auto indices were up 0.17 percent, 0.35 percent and 0.34 percent, respectively. On the downside, Nifty Realty fell the most, shedding 1.42 percent. Media and PSU Bank indices declined 0.4 percent and 0.83 percent, respectively. FMCG, Energy and Infra indices were also under pressure, down 0.11 percent, 0.37 percent and 0.22 percent, respectively. Foreign Institutional Investors (FIIs) offloaded equities worth Rs 1,970.14 crore on Tuesday, according to exchange data. The broader market also remained weak. The Nifty Midcap 100 index slipped 0.17 percent, while the Smallcap index dropped 0.42 percent. In Asian markets, South Korea's Kospi, Japan's Nikkei 225 index and Shanghai's SSE Composite index settled lower while Hong Kong's Hang Seng index ended higher."
