Date,Title,URL,Article Description,Article Text,Article Content
28 Aug 2025,"Stocks to Watch Today: Lotus Developers, InterGlobe, SMS Pharma, E2E Networks, Mangal Electrical, HFCL, Power Grid, Dr Agarwal's Eye Hospital in focus on 28 August",https://www.moneycontrol.com/news/business/markets/stocks-to-watch-today-lotus-developers-interglobe-sms-pharma-e2e-networks-mangal-electrical-hfcl-power-grid-dr-agarwal-s-eye-hospital-in-focus-on-28-august-13493668.html,"Stocks to Watch, 28 August: Stocks like Sri Lotus Developers, InterGlobe Aviation, SMS Pharmaceuticals, E2E Networks, Mangal Electrical Industries, HFCL, Power Grid Corporation of India, Edelweiss Financial Services, and Dr Agarwal's Eye Hospital will be in focus on August 28.","Stocks to Watch Today, 28 August","Let's catch up on the latest news from the stock market. From significant investments to major deals, order wins, merger, and appointments, here’s a quick look at which stocks will be in focus in today's trade: Results Today AJC Jewel Manufacturers, and Prabhat Technologies (India) will announce their quarterly earnings on August 28. Quarterly Earnings Sri Lotus Developers and Realty Q1 (Consolidated YoY) Profit tanks 35.8% to Rs 25.8 crore Vs Rs 40.2 crore Revenue sinks 49.2% to Rs 61.3 crore Vs Rs 120.7 crore Stocks to Watch InterGlobe Aviation The Rakesh Gangwal family is likely to sell up to a 3.1% stake in IndiGo via block deals, with the offer size at Rs 7,027 crore and a floor price of Rs 5,808 per share, reports CNBC-TV18 quoting sources. SMS Pharmaceuticals The company has received the Establishment Inspection Report (EIR) with a No Action Indicated status for its Central Laboratory Analytical Services in Hyderabad. The US FDA had conducted the inspection of the said laboratory during June 23–25 and concluded it with zero Form 483 observations. Dr Reddy’s Laboratories The Telangana High Court has granted an interim stay on the impugned order and the income tax reassessment proceedings related to the merger of Dr Reddy’s Holding into the company, until the next date of hearing. BSE The company’s subsidiaries—BSE Investments and BSE Administration and Supervision—have received approval from their respective Boards of Directors to initiate a merger with BSE Technologies. United Breweries The company is enhancing its manufacturing capabilities by setting up a new canning line facility at the existing Nizam Brewery in Telangana. This facility will primarily produce certain premium products of Kingfisher and Heineken. The company will invest Rs 90 crore for the proposed capacity addition of 0.4 mhl, compared to the existing capacity of 0.5 mhl. It has also received all requisite regulatory approvals, including the final building permit order issued by the Industrial Area Local Authority – Kothlapur. SBI Cards and Payment Services The pure-play credit card issuer announced a strategic alliance with e-commerce marketplace Flipkart for the launch of the Flipkart SBI Credit Card. This co-branded credit card aims to enhance affordability and value for customers of Flipkart, Myntra, Shopsy, and Cleartrip. E2E Networks The company has received an order worth Rs 88.02 crore from IndiaAI, an Independent Business Division under the Ministry of Electronics and Information Technology, for the immediate allocation of 1,024 H200 SXM GPUs (128 H200-8X) to GAN AI, which has been selected to build India’s foundational AI model. Newgen Software Technologies The company has received a purchase order from a customer for a scanning and digitization project. The aggregate value of the order is Rs 73.12 crore. Oil India, BPCL Oil India has signed a joint venture agreement with Bharat Petroleum Corporation (BPCL) to execute a city gas distribution network in Arunachal Pradesh. The project includes establishing CNG stations and providing piped natural gas (PNG). Power Grid Corporation of India The company has been declared the successful bidder to establish an inter-state transmission system in Karnataka. The project involves transmission system strengthening at Davanagere for the integration of renewable energy generation, under the build-own-operate-transfer (BOOT) model. The company has received the Letter of Intent (LoI) for the said project. Lemon Tree Hotels The company has signed a license agreement for a hotel property—Lemon Tree Resort in Pench, Maharashtra. The property will be managed by its subsidiary, Carnation Hotels. HFCL The company's subsidiary, HTL, has received a contract worth Rs 101.82 crore from the Indian Army for the supply of tactical optical fiber cables and related accessories. Himadri Speciality Chemical The company has received the ISCC PLUS certification (International Sustainability and Carbon Certification), further strengthening its global leadership in sustainable and traceable supply chains. Rail Vikas Nigam The company has signed a joint venture agreement with Texmaco Rail & Engineering to undertake projects in the railway and allied infrastructure sectors. The proposed shareholding will be 51% for RVNL and 49% for Texmaco Rail. Dr Agarwal's Health Care, Dr Agarwal's Eye Hospital Both entities have received approval from their respective Boards of Directors for a scheme of amalgamation under the Dr Agarwal’s Group. The merger is expected to streamline operations and enable unified management, driving efficiency and strategic alignment. Bulk and Block Deals Sai Life Sciences TPG Asia, an affiliate of the global private equity firm TPG, exited the pharma company by selling entire 14.72% stake (3.07 crore shares) for Rs 2,675.6 crore. However, of shares sold by TPG, Goldman Sachs (Singapore) Pte bought 11.04 lakh shares at Rs 871.05 per share valued at Rs 96.2 crore, and Societe Generale acquired 14.06 lakh shares at Rs 871 per share for Rs 122.5 crore. Edelweiss Financial Services Ace investor Sunil Singhania's Abakkus Asset Manager picked 64.3 lakh shares (equivalent to 0.67% stake) in the company at Rs 100 per share, amounting Rs 64.3 crore from Edelweiss Employees Welfare Trust, and Edelweiss Employees Incentives and Welfare Trust. Sona BLW Precision Forgings Singapore-based investment company Integrated Core Strategies (Asia) has acquired 1.04 crore shares (equivalent to 1.68% stake) in the auto component maker at Rs 454.51 per share, valued at Rs 474.5 crore. Vikram Solar Plutus Wealth Management bought 20 lakh shares (0.55% stake) in the Kolkata-based solar panels maker at Rs 352.33 per share, amounting to Rs 70.47 crore. Sammaan Capital Plutus Wealth Management purchased 42.5 lakh shares in housing finance company at Rs 119.69 per share, valued at Rs 50.86 crore. Vishal Mega Mart BNP Paribas Financial Markets sold 5.53 crore shares in the hypermarket chain at Rs 152.8 per share, and Integrated Core Strategies (Asia) offloaded 2.41 crore shares at Rs 152.64 per share, which totalled to 794 crore shares (1.7% stake) amounting to Rs 1,213.4 crore. Waaree Energies BNP Paribas Financial Markets sold 17.8 lakh shares (0.62% stake) at Rs 3,266.21 per share, valued at Rs 582.6 crore. Hitachi Energy India BNP Paribas Financial Markets offloaded 4.19 lakh shares in the company at Rs 19,794.72 per share, for Rs 829.7 crore. Patel Retail Yashwant Amratlal Thakkar bought 4 lakh shares (1.19% stake) at Rs 300 per share, valued at Rs 12 crore. Nexus Select Trust iShares Core MSCI Emerging Markets ETF acquired 75.77 lakh units in Nexus Select Trust (0.5% stake) at Rs 145.99 per unit, amounting to Rs 110.6 crore. Veranda Learning Solutions Promoters Kalpathi Subramaniam Ganesh, Kalpathi Subramanian Suresh, and Kalpathi Subramanyam Aghoram cumulatively sold 66 lakh shares (7.05% stake) in Veranda for Rs 151.8 crore. However, Authum Investment & Infrastructure bought additional 58 lakh shares (6.2% stake) at Rs 230.1 per share, amounted to Rs 133.45 crore, and Goldman Sachs (Singapore) Pte acquired 7.6 lakh shares (0.81%) at Rs 229.95 per share, valued at Rs 17.49 crore. Mainboard Listing on August 28 Mangal Electrical Industries Stocks Trade Ex-Dividend Aster DM HealthcareGujarat Pipavav PortJyothy LabsProcter & Gamble Hygiene and Health CareRoute MobileSpeciality RestaurantsMagna Electro CastingsVedant FashionsMitsu Chem PlastOriental Rail InfrastructureAAA TechnologiesAbirami Financial ServicesDiamines & Chemicals Stock Trades Ex-Date for Income Distribution (InvIT) Altius Telecom Infrastructure Trust Stock Trades Ex-Bonus DMR Hydroengineering & Infrastructures Stock in F&O Ban RBL Bank Stock Out of F&O ban Titagarh Rail Systems"
11 Aug 2025,Buy Power Grid Corporation of India; target of Rs 350: Mirae Asset Sharekhan,https://www.moneycontrol.com/news/business/stocks/buy-power-grid-corporation-of-india-target-of-rs-350-mirae-asset-sharekhan-13434532.html,"Mirae Asset Sharekhan is bullish on Power Grid Corporation of India has recommended buy rating on the stock with a target price of Rs 350 in its research report dated August 07, 2025.",buy,"Mirae Asset Sharekhan's research report on Power Grid Corporation of India Standalone revenue of Rs. 9,928 crore was down 1.4% y-o-y and lesser than estimates. Standalone PAT of Rs. 3,653 crore was up 7.1% y-o-y. Capitalization of Rs. 1,800 crore in Q1FY26 is quite less considering the full year guidance of Rs. 22,000 crore. Management has maintained its capex guidance of Rs. 28,000/35,000/45,000 crore in FY26/27/28 respectively. The strong capex expectation provides good earnings visibility for the future. Outlook Hence, we maintain a Buy with an unchanged PT of Rs. 350. At CMP, it trades at 2.6x/2.4x its FY26/27 P/BV. For all recommendations report, click here Power Grid Corporation of India - 11082025 - khan"
05 Aug 2025,Buy Power Grid Corporation of India; target of Rs 365: ICICI Securities,https://www.moneycontrol.com/news/business/earnings/buy-power-grid-corporation-of-india-target-of-rs-365-icici-securities-13396800.html,"ICICI Securities is bullish on Power Grid Corporation of India has recommended buy rating on the stock with a target price of Rs 365 in its research report dated August 04, 2025.",BUY,"ICICI Securities's research report on Power Grid Corporation of India Power Grid is riding on transmission tailwinds, as India is augmenting its transmission infrastructure to integrate renewables into the grid. It racked-up projects worth >INR 1trn in FY25; it won 24 transmission projects in bids with estimated cost of INR 920bn. As a result, its work in hand remains robust at INR 1.49trn as of Jul’25. The bidding activity was subdued in Q1; however, it is expected to pick up in the remaining quarters of FY26. The company has also pushed the pedal on execution with INR 263bn of capex in FY25 and INR 280bn/350bn/450bn of capex planned for FY26/27/28. Capex in Q1 was INR 70bn; however, the commissioning was muted at INR 18bn in Q1 and INR 28bn in 4MFY26. Transmission pipeline remains strong; Outlook We estimate another INR 3trn of bidding in transmission in next 3 years with the company likely maintaining its share of >50% in project wins. Maintain BUY with a revised TP of INR 365 as we roll forward to FY28E. For all recommendations report, click here Power Grid Corporation of India_05082025_ICICI Securities"
05 Aug 2025,Buy Power Grid Corporation of India; target of Rs 345: Motilal Oswal,https://www.moneycontrol.com/news/business/earnings/buy-power-grid-corporation-of-india-target-of-rs-345-motilal-oswal-13391000.html,"Motilal Oswal is bullish on Power Grid Corporation of India has recommended buy rating on the stock with a target price of Rs 345 in its research report dated August 01, 2025.",BUY,"Motilal Oswal's research report on Power Grid Corporation of India In 1QFY26, Power Grid Corporation (PWGR) reported a standalone (SA) revenue of INR99.3b (-1% YoY), 6% below our estimate. EBITDA was 12% below our estimate at INR81.2b (-7% YoY), hit by a 66% YoY surge in other expenses. Adj. SA PAT was 6% below our est. at INR34.7b, supported by higher-than-expected other income and lower tax expenses. In the analyst meet, management reiterated its robust capex trajectory, improving capitalization trends, and a strong project pipeline. Capex guidance remains unchanged at INR280b/INR350b/INR450b for FY26/FY27/FY28, respectively. However, the capitalization target for FY26 has been slightly revised downward to INR220b (vs. earlier guidance of INR230–250b), owing to persistent issues related to right-of-way (RoW). Outlook We derive our TP of INR345 for PWGR based on FY27E BVPS and a P/B multiple of 3x, which we believe is reasonable given that its capex and capitalization are on a multi-year uptrend with the order book at an elevated level. For all recommendations report, click here Power Grid Corporation of India_04082025_Motilal Oswal"
31 Jul 2025,"Power Grid Corp Consolidated June 2025 Net Sales at Rs 11,196.22 crore, up 1.73% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/power-grid-corp-consolidated-june-2025-net-sales-at-rs-11196-22-crore-up-1-73-y-o-y-13357319.html,,,"Reported Consolidated quarterly numbers for Power Grid Corporation of India are: Net Sales at Rs 11,196.22 crore in June 2025 up 1.73% from Rs. 11,006.18 crore in June 2024. Quarterly Net Profit at Rs. 3,630.58 crore in June 2025 down 2.51% from Rs. 3,723.92 crore in June 2024. EBITDA stands at Rs. 9,394.94 crore in June 2025 down 4.87% from Rs. 9,875.88 crore in June 2024. Power Grid Corp EPS has decreased to Rs. 3.90 in June 2025 from Rs. 4.00 in June 2024. Power Grid Corp shares closed at 288.95 on July 29, 2025 (NSE) and has given -2.17% returns over the last 6 months and -17.40% over the last 12 months. "
31 Jul 2025,"Power Grid Corp Standalone June 2025 Net Sales at Rs 9,928.23 crore, down 1.39% Y-o-Y",https://www.moneycontrol.com/news/business/earnings/power-grid-corp-standalone-june-2025-net-sales-at-rs-9928-23-crore-down-1-39-y-o-y-13357014.html,,,"Reported Standalone quarterly numbers for Power Grid Corporation of India are: Net Sales at Rs 9,928.23 crore in June 2025 down 1.39% from Rs. 10,068.16 crore in June 2024. Quarterly Net Profit at Rs. 3,653.23 crore in June 2025 up 7.07% from Rs. 3,412.15 crore in June 2024. EBITDA stands at Rs. 9,446.47 crore in June 2025 down 0.84% from Rs. 9,526.30 crore in June 2024. Power Grid Corp EPS has increased to Rs. 3.93 in June 2025 from Rs. 3.67 in June 2024. Power Grid Corp shares closed at 288.95 on July 29, 2025 (NSE) and has given -2.17% returns over the last 6 months and -17.40% over the last 12 months. "
28 Jul 2025,"PowerGrid Q1: Revenue to see minor uptick but subdued power demand, finance costs could weigh",https://www.moneycontrol.com/news/business/earnings/powergrid-q1-revenue-to-see-minor-uptick-but-subdued-power-demand-finance-costs-could-weigh-13334423.html,"India’s overall power generation declined 2% year-on-year in Q1FY26, mainly due to lower output from conventional sources.","Analysts will be closely tracking any management commentary on upcoming capex plans, project execution timelines, and expectations around power demand for the rest of FY2026.","Power Grid Corporation of India is expected to see a modest rise in earnings for the first quarter of 2025-26, supported by steady capitalisation activity but tempered by higher finance costs and subdued power demand. The average of three brokerages pegs the state-owned bulk power transmission company's net profit for the first three months of the current fiscal at Rs 3,808 crore, compared to Rs 3724 crore a year earlier, with gains limited due to a 13 percent increase in interest costs. According to a Moneycontrol poll, revenue is projected to come in at Rs 11,202 crore, up 1.3 percent from the Rs 11,062 crore seen in Q1FY25. The company will be reporting its numbers on June 30. Currently, there is limited earnings coverage for Power Grid. Of three brokerages, Elara is the most optimistic, forecasting a net profit of Rs 3,913 crore, while Motilal Oswal is the most cautious, pegging it at Rs 3,688 crore. EBITDA (earnings before interest, taxes, depreciation and amortisation) margin is seen holding steady at around 87 percent, supported by the company’s regulated business model.Key drivers Steady capitalisationCapitalisation of completed transmission assets should drive turnover growth in the quarter. JM Financial said, “Moderate growth in revenue is anticipated, largely driven by increased capitalisation.” Higher finance costsDespite a stable revenue performance, profitability could remain under pressure due to rising borrowing costs. Brokerages expect net profit to stay largely flat year-on-year, as higher interest expenses offset operating gains. Renewable energy projectsA sharp increase in renewable power additions of around 6.7 GW in just two months continues to support the long-term outlook for transmission infrastructure. Elara Capital highlighted, “Power Grid is a key beneficiary of renewable capacity expansion, backed by a Rs 2 trillion (Rs 2 lakh crore) project pipeline over the next 7–8 years.” While the impact in this quarter may be limited, the structural growth trend is intact. Weak power demandIndia’s overall power generation declined 2 percent year-on-year in Q1FY26, mainly due to lower output from conventional sources. Motilal Oswal noted, “While current demand remains soft, peak demand months have historically shown great variability, and power demand could bounce back in the coming quarters.” In the near term, however, muted demand could limit upside, brokerages suggest. What analysts will be watching forAnalysts will be closely tracking any management commentary on upcoming capex plans, project execution timelines and expectations around power demand for the rest of FY26."
09 Jul 2025,"Trade Spotlight: How should you trade Power Grid Corporation, ICICI Prudential Life, Ceat, Apollo Tyres, Dabur, Bandhan Bank and others on July 10?",https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-should-you-trade-power-grid-corporation-icici-prudential-life-ceat-apollo-tyres-dabur-bandhan-bank-and-others-on-july-10-13252186.html,The frontline indices are expected to continue trading within the previous week's range. Below are some short-term trading ideas to consider.,Top Buy Ideas for Short term,"Equity benchmarks closed 0.2 percent lower after a choppy session on July 9. The market breadth remained favourable for bears, with 1,356 shares declining compared to 1,295 advancing shares on the NSE. The frontline indices are expected to continue trading within the previous week's range.Below are some short-term trading ideas to consider: Jatin Gedia, Technical Research Analyst, Mirae Asset Sharekhan Cholamandalam Investment and Finance Company | CMP: 1,563.1  Cholamandalam Investment and Finance Company has completed the final leg of a symmetrical triangle pattern and has witnessed buying interest. On the weekly timeframe, it has taken support at the 20-week moving average (Rs 1,536). We expect the stock to trade with a positive bias. Strategy: Buy Target: Rs 1,666 Stop-Loss: Rs 1,506 Bharat Heavy Electricals | CMP: Rs 262  BHEL has retraced 50 percent of its previous rise and has now resumed the next leg of its upmove. The rise has been accompanied by above-average volume, suggesting renewed interest in the stock. Strategy: Buy Target: Rs 272, Rs 281 Stop-Loss: Rs 256 Power Grid Corporation of India | CMP: Rs 299.65  Power Grid Corporation broke out of a falling channel last week, then retested the breakout level and has since resumed its upmove. The daily momentum indicator has given a positive crossover, which is considered a buy signal. Strategy: Buy Target: Rs 321 Stop-Loss: Rs 293 Sudeep Shah, Head – Technical and Derivatives Research at SBI Securities ICICI Prudential Life Insurance Company | CMP: Rs 680.35  On Wednesday, ICICI Prudential Life Insurance registered a Stage-2 Cup pattern breakout on the daily chart, accompanied by volume above the 50-day average, confirming the strength of the move. It is currently trading above both its short- and long-term moving averages, which are not only rising but also aligned in the desired sequence. Additionally, the daily RSI is in bullish territory and trending upward, further supporting the positive momentum. We recommend accumulating the stock in the zone of Rs 685-680 levels. Strategy: Buy Target: Rs 740 Stop-Loss: Rs 655 Ceat | CMP: Rs 3,863.4 Over the past two trading sessions, tyre stocks have been strongly outperforming the frontline indices. Ceat has recently witnessed a falling channel breakout on the daily chart, followed by a steady upward move accompanied by relatively higher volumes. The stock is now trading above its key moving averages, reinforcing the bullish sentiment. Technically, the daily RSI has crossed the 60 mark and continues to rise, while the MACD remains in bullish territory, staying above both the zero line and the signal line. Hence, we recommend accumulating the stock in the zone of Rs 3,870-3,850 levels. Strategy: Buy Target: Rs 4,150 Stop-Loss: Rs 3,740 Rupak De, Senior Technical Analyst at LKP Securities Apollo Tyres | CMP: Rs 473.9  Apollo Tyres has given a breakout above a falling trendline resistance on the daily chart, indicating a bullish reversal. It has also moved above both the 50DMA and 200DMA, reinforcing the positive sentiment. Volume has picked up alongside the breakout, adding strength to the move. Additionally, the RSI has crossed above the 60 mark and broken out of a downward sloping trendline, signaling strong momentum. Strategy: Buy Target: Rs 519 Stop-Loss: Rs 454 Dabur India | CMP: Rs 522.15  Dabur has given a strong breakout above a falling trendline, accompanied by a sharp rise in volume, indicating bullish momentum. The stock has also moved past the 200DMA, strengthening the positive bias. The RSI has surged above 75, suggesting strong buying interest, though it also indicates slightly overbought conditions in the near term. As long as the stock holds above the breakout level of Rs 510, the momentum is likely to sustain. Strategy: Buy Target: Rs 555 Stop-Loss: Rs 504 Bandhan Bank | CMP: Rs 178  Bandhan Bank corrected down to the rising trendline on the daily chart before staging a recovery. It continues to sustain above the critical short-term moving average, the 50DMA. Additionally, a reciprocal ABCD pattern has formed on the daily timeframe, indicating the potential for a swift rebound. Strategy: Buy Target: Rs 185, Rs 188 Stop-Loss: Rs 173"
26 Jun 2025,"PSUs should find a place in investors' portfolios; SBI, BEL, Coal India among top picks: Motilal Oswal",https://www.moneycontrol.com/news/business/markets/psus-should-find-a-place-in-investors-portfolios-sbi-bel-coal-india-among-top-picks-motilal-oswal-13179991.html,Motilal Oswal said that several PSU sectors have posted a very sharp turnaround in profit and creating unexpected shareholder value. ,The BSE PSU index's current market capitalization stands 14 percent below its all-time high.,"Public sector enterprises (PSUs) were known for their sluggish growth, debt-laden balance sheets, and poor performance. However, since the COVD-19 pandemic, Indian PSUs have been one of the most remarkable stories of Indian capital markets, noted domestic brokerage Motilal Oswal. Several PSU sectors have posted a very sharp turnaround in profit and creating unexpected shareholder value. As a cohort, the PSUs posted an unprecedented 36 percent profit after tax (PAT) CAGR during FY20-25, feeding into the 32 percent CAGR for the BSE PSU Index and a consistent expansion in PSUs’ share in overall profits to an impressive 38 percent. However, after a remarkable post-pandemic rebound, PSU earnings growth moderated in FY25, weighed down by the high base of a robust 43 percent YoY increase in FY24 and a decline in O&G sector earnings. ""While some cyclical moderation did set in in FY25, key building blocks and an enabling environment for sustained profitable performance for several PSUs look intact. Consequently, PSU names in sectors with policy/demand tailwinds or structural growth potential should find a meaningful place in long-term investor portfolios, in our view,"" said the brokerage. The brokerage said its top PSU ideas are State Bank of India Ltd, Hindustan Aeronautics Ltd, Bharat Electronics Ltd, Power Grid Corporation of India Ltd, and Coal India Ltd. For the brokerage's PSU coverage universe, it sees a 10 percent PAT CAGR over FY25-27, primarily driven by the BFSI and O&G sectors, based on conservative assumptions relative to the FY25 base. ""Logistics, Capital Goods, and Metals are also expected to contribute positively. Incremental profit growth is likely to be led by BFSI (53 percent), followed by O&G (20 percent) and Metals (12 percent),"" added the report. Follow our market blog to catch all the live updates Further, the brokerage noted that over the past year, the market capitalization of the BSE PSU Index hit an all-time high of Rs 74 lakh crore in July 2024, driven by consistent rerating trends. It then declined by 31 percent to Rs 51 lakh crore in February 2025 amid the broad market correction before recovering 25 percent to Rs 64 lakh crore in June 2025. The index’s current market capitalization stands 14 percent below its all-time high (up 5 percent inthe year 2025 so far). Owing to the market correction (between October 2024 and March 2025), theP/E ratio of the BSE PSU Index has come down to 11.7x, from 13.8x in July 2024, though it is up from 9.8x in February 2025."
17 Jun 2025,"NHPC drops plan to buy PSU peers' stake in PTC India, says report",https://www.moneycontrol.com/news/business/markets/nhpc-drops-plan-to-buy-psu-peers-stake-in-ptc-india-says-report-13132250.html,"NHPC, NTPC, Power Grid and Power Finance Corporation each held 4.05% stake in PTC India, as at the end of the March quarter.",NHPC,"NHPC has informed the Central government that it has dropped its plan to buy stake held by its PSU peers in power trading company PTC India, Mint reported citing people familiar with the matter. Earlier this year, NHPC had clarified that it is in very initial stages of consideration whether or not it should buy co-promoter's stake in PTC India. Notably, NTPC, Power Grid Corporation of India and Power Finance Corporation also own some stake in PTC India, along with NHPC. According to data available on BSE about PTC India's shareholding pattern as on March 31, 2025, NHPC, NTPC, Power Grid and Power Finance Corporation each hold 4.05 percent stake in the company. This takes the total stake held by the four promoters and promotor groups of the company to 16.22 percent. The rest of the 83.78 percent stake was held by the public. NHPC is no longer planning to pick up the stake from other promoters as it is an infrastructure company dedicated to hydro projects, with power trading not being its core business, the report cited a source as saying. This is why, NHPC has decided not to invest further in the power trading company, the source further said. It however informed Centre that it doesn’t plan to sell its existing stake in the company. Moneycontrol couldn't independently verify the report. NHPC shares dropped nearly 1.7 percent to close at Rs 85.05 apiece, while those of PTC India closed in the red with marginal losses at Rs 176.64 apiece. NHPC Ltd, India's largest hydropower producer, will commission hydro projects with a total capacity of 2,170 megawatt (MW) by the end of FY26, the public sector undertaking's (PSU) chairman and managing director Raj Kumar Chaudhary told Moneycontrol in an exclusive interview earlier this year. Besides, the much delayed 2,000 MW Subansiri hydropower project in Arunachal Pradesh will also be commissioned in FY26, he said. "
